U(V)	I(10,000E-3)	dI
-6,00000000000E+1	1,47502151498E-5	6,27524025690E-9
-5,80000000000E+1	1,45427486368E-5	3,29672401883E-9
-5,60000000000E+1	1,43549917505E-5	3,74189775629E-9
-5,40000000000E+1	1,41781887502E-5	2,85163867060E-9
-5,20000000000E+1	1,40002042360E-5	3,22240598592E-9
-5,00000000000E+1	1,38069648286E-5	3,19847531811E-9
-4,80000000000E+1	1,36208601780E-5	2,95543339892E-9
-4,60000000000E+1	1,34334379312E-5	2,62567954364E-9
-4,40000000000E+1	1,32482442497E-5	2,50772130195E-9
-4,20000000000E+1	1,30412524896E-5	3,01064832243E-9
-4,00000000000E+1	1,28522028724E-5	2,83087792469E-9
-3,80000000000E+1	1,26416561617E-5	4,50161560255E-9
-3,60000000000E+1	1,24272959358E-5	3,67375122310E-9
-3,40000000000E+1	1,22189994131E-5	2,73324347289E-9
-3,20000000000E+1	1,20002581347E-5	3,04873657609E-9
-3,00000000000E+1	1,17824942606E-5	2,50531385499E-9
-2,80000000000E+1	1,15647608136E-5	4,89893410767E-9
-2,60000000000E+1	1,13421796219E-5	3,47223337659E-9
-2,40000000000E+1	1,11154399060E-5	3,51652303836E-9
-2,20000000000E+1	1,08882303127E-5	2,66345727376E-9
-2,00000000000E+1	1,06476285719E-5	2,97066284820E-9
-1,80000000000E+1	1,04026737899E-5	2,29736821529E-9
-1,60000000000E+1	1,01595505331E-5	3,45560274483E-9
-1,40000000000E+1	9,91460937895E-6	2,70961584348E-9
-1,20000000000E+1	9,67032543458E-6	3,40414422147E-9
-1,00000000000E+1	9,42122736855E-6	2,83663413259E-9
-8,00000000000E+0	9,16253066844E-6	3,51955013361E-9
-6,00000000000E+0	8,89608686234E-6	2,72119399276E-9
-4,00000000000E+0	8,63604216209E-6	4,84723981918E-9
-2,00000000000E+0	8,37452057274E-6	1,99225788692E-9
0,00000000000E+0	8,11301580341E-6	2,15841089740E-9
2,00000000000E+0	7,83501380327E-6	2,09444301922E-9
4,00000000000E+0	7,56790084049E-6	2,64347384753E-9
6,00000000000E+0	7,28723964268E-6	3,16157591354E-9
8,00000000000E+0	7,01087466944E-6	2,41171311859E-9
1,00000000000E+1	6,73668542984E-6	2,40416043179E-9
1,20000000000E+1	6,45772689784E-6	2,40665040037E-9
1,40000000000E+1	6,17712977841E-6	2,15156423361E-9
1,60000000000E+1	5,89346680318E-6	1,98834743424E-9
1,80000000000E+1	5,61363176591E-6	1,92767420661E-9
2,00000000000E+1	5,33048272154E-6	2,09136629585E-9
2,20000000000E+1	5,04541331785E-6	2,03216217408E-9
2,40000000000E+1	4,75810656195E-6	1,96329970406E-9
2,60000000000E+1	4,47415225355E-6	1,83322773912E-9
2,80000000000E+1	4,18706004480E-6	1,69076328877E-9
3,00000000000E+1	3,90716582153E-6	1,66134807491E-9
3,20000000000E+1	3,63700872706E-6	1,87057223236E-9
3,40000000000E+1	3,38002605069E-6	1,72596577116E-9
3,60000000000E+1	3,13974633698E-6	1,69400020278E-9
3,80000000000E+1	2,93207365553E-6	1,49092447155E-9
4,00000000000E+1	2,75909647443E-6	2,42076457071E-9
4,20000000000E+1	2,62453785593E-6	1,58927520235E-9
4,40000000000E+1	2,52243097070E-6	1,49512558696E-9
4,60000000000E+1	2,45826635637E-6	1,44670718968E-9
4,80000000000E+1	2,42583143493E-6	1,54620662286E-9
5,00000000000E+1	2,42457627175E-6	2,04543024078E-9
5,20000000000E+1	2,45037675924E-6	1,80629410660E-9
5,40000000000E+1	2,49239991073E-6	1,66488526895E-9
5,60000000000E+1	2,55414225239E-6	1,62157738609E-9
5,80000000000E+1	2,62681604117E-6	1,64949957917E-9
6,00000000000E+1	2,70754672938E-6	2,27393943558E-9
